melanin_concentration(Cm),blood_concentration(Ch),melanin_blend(Bm),BloodOxy,epidermis_thickness(T),X,Y,Z,sR,sG,sB
0.01,0.002,0.728553,0.79,0.005,64.9838,68.5503,60.3388,224.778,215.244,193.139
0.01,0.002,0.728553,0.885,0.0125,64.2508,67.8471,59.5048,223.61,214.339,191.875
0.01,0.002,0.728553,0.98,0.005,64.8209,68.3101,60.6807,224.341,214.853,193.786
0.01,0.002,0.728553,0.885,0.02,63.7719,67.1454,58.5214,223.632,213.075,190.362
0.01,0.002,1,0.6,0.005,64.4498,67.972,60.2985,223.686,214.444,193.212
0.01,0.002,0.728553,0.98,0.0125,64.1869,67.6811,59.634,223.588,213.994,192.146
0.01,0.002,0.728553,0.98,0.02,63.7187,67.023,58.7552,223.498,212.835,190.805
0.01,0.002,1,0.6,0.0125,63.7148,67.1402,59.0159,223.067,213.169,191.217
0.01,0.002,1,0.6,0.02,62.7366,66.2135,58.0348,221.378,211.984,189.732
0.01,0.002,1,0.695,0.02,62.6857,66.2236,57.9559,221.187,212.077,189.586
0.01,0.002,1,0.79,0.02,62.5949,66.1127,58.0659,220.945,211.912,189.807
0.01,0.002,1,0.695,0.0125,63.3333,66.8742,59.0901,221.906,212.989,191.4
0.01,0.002,1,0.79,0.0125,63.2143,66.7388,59.0042,221.725,212.787,191.285
0.01,0.002,1,0.695,0.005,63.854,67.5067,60.2736,222.075,214.025,193.27
0.01,0.002,1,0.79,0.005,63.8265,67.5039,60.1278,222.058,214.047,193.019
0.01,0.002,1,0.885,0.005,63.6838,67.3736,59.8363,221.901,213.88,192.55
0.01,0.002,1,0.885,0.02,62.5132,66.036,58.1666,220.678,211.825,190.002
0.01,0.002,1,0.885,0.0125,63.0828,66.6114,59.0149,221.407,212.629,191.334
0.01,0.002,1,0.98,0.0125,63.1437,66.6484,59.0451,221.576,212.645,191.38
0.01,0.002,1,0.98,0.005,63.7422,67.373,60.0898,221.987,213.813,192.99
0.01,0.008,0.5,0.6,0.005,54.2616,55.6882,45.9358,214.125,193.749,170.035
0.01,0.008,0.5,0.6,0.0125,53.9366,55.258,45.5328,213.855,192.928,169.354
0.01,0.008,0.5,0.6,0.02,53.744,54.9725,45.4906,213.622,192.36,169.359
0.01,0.002,1,0.98,0.02,62.6179,66.1513,58.1974,220.877,211.991,190.026
0.01,0.008,0.5,0.695,0.02,53.7383,54.99,45.4312,213.6,192.418,169.231
0.01,0.008,0.5,0.695,0.0125,53.9707,55.2702,45.6362,213.912,192.919,169.562
0.01,0.008,0.5,0.79,0.0125,53.7864,55.1382,45.8712,213.187,192.823,170.068
0.01,0.008,0.5,0.79,0.02,53.5693,54.7269,45.8042,213.133,191.907,170.07
0.01,0.008,0.5,0.885,0.0125,53.5459,54.7749,46.1447,212.679,192.113,170.733
0.01,0.008,0.5,0.79,0.005,54.0506,55.4793,46.037,213.54,193.454,170.297
0.01,0.008,0.5,0.695,0.005,54.0323,55.5351,45.3555,213.816,193.606,168.896
0.01,0.008,0.5,0.885,0.02,53.3513,54.4946,45.9097,212.561,191.548,170.35
0.01,0.008,0.5,0.98,0.005,53.6548,54.9194,46.6069,212.537,192.414,171.613
0.01,0.008,0.5,0.885,0.005,53.645,55.0403,46.0325,212.635,192.758,170.416
0.01,0.008,0.5,0.98,0.0125,53.5053,54.6042,46.8171,212.387,191.701,172.136
0.01,0.008,0.5,0.98,0.02,53.3125,54.3452,46.3971,212.363,191.184,171.38
0.01,0.008,0.728553,0.6,0.005,53.5142,55.0063,45.2161,212.685,192.805,168.764
0.01,0.008,0.728553,0.6,0.0125,53.3399,54.7244,45.1117,212.572,192.214,168.644
0.01,0.008,0.728553,0.6,0.02,53.1251,54.4692,44.9357,212.264,191.762,168.362
0.01,0.008,0.728553,0.695,0.005,53.3947,54.8764,45.2428,212.399,192.6,168.857
0.01,0.008,0.728553,0.695,0.0125,53.1849,54.4783,45.4008,212.19,191.726,169.311
0.01,0.008,0.728553,0.79,0.005,53.4795,54.8336,45.7975,212.491,192.373,170.006
0.01,0.008,0.728553,0.79,0.0125,53.2046,54.4711,45.4846,212.237,191.679,169.486
0.01,0.008,0.728553,0.695,0.02,52.9215,54.2306,44.875,211.888,191.349,168.31
0.01,0.008,0.728553,0.885,0.005,53.3256,54.6991,46.0404,211.9,192.222,170.53
0.01,0.008,0.728553,0.885,0.0125,53.0297,54.342,45.9215,211.398,191.59,170.399
0.01,0.008,0.728553,0.98,0.005,53.0067,54.3866,46.4255,210.83,191.797,171.388
0.01,0.008,0.728553,0.885,0.02,52.7083,53.9988,45.4007,211.032,191.011,169.447
0.01,0.008,0.728553,0.79,0.02,53.0106,54.2609,45.3662,211.884,191.334,169.307
0.01,0.008,1,0.6,0.005,53.016,54.5253,44.8767,211.677,192.101,168.208
0.01,0.008,0.728553,0.98,0.02,52.6414,53.8509,45.8128,210.751,190.69,170.329
0.01,0.008,0.728553,0.98,0.0125,52.8042,54.014,46.3653,210.753,190.971,171.39
0.01,0.008,1,0.6,0.02,52.5432,53.861,44.646,211.108,190.798,167.947
0.01,0.008,1,0.6,0.0125,52.734,54.0823,44.7798,211.412,191.184,168.154
0.01,0.008,1,0.695,0.005,53.0164,54.5407,45.2561,211.373,192.173,168.975
0.01,0.008,1,0.695,0.0125,52.6484,54.0579,45.0896,210.845,191.266,168.786
0.01,0.008,1,0.79,0.005,52.8579,54.3505,45.5462,210.847,191.862,169.62
0.01,0.008,1,0.695,0.02,52.3295,53.7049,44.6073,210.484,190.654,167.906
0.01,0.008,1,0.79,0.0125,52.5142,53.8996,45.3114,210.409,191.008,169.284
0.01,0.008,1,0.885,0.005,52.8273,54.2942,45.6838,210.73,191.747,169.917
0.01,0.008,1,0.79,0.02,52.2628,53.5827,44.91,210.225,190.404,168.566
0.01,0.008,1,0.98,0.005,52.7066,54.1472,46.3176,210.035,191.531,171.233
0.01,0.018,0.5,0.6,0.005,44.2725,43.6133,34.242,202.444,170.262,148.339
0.01,0.008,1,0.98,0.0125,52.4705,53.7788,46.086,209.914,190.758,170.888
0.01,0.008,1,0.885,0.02,52.1737,53.4634,45.3286,209.77,190.206,169.453
0.01,0.008,1,0.885,0.0125,52.5294,53.8902,45.5714,210.314,190.972,169.816
0.01,0.018,0.5,0.6,0.0125,44.2942,43.7379,34.4296,202.118,170.681,148.734
0.01,0.008,1,0.98,0.02,52.1224,53.3483,45.7375,209.49,189.96,170.318
0.01,0.018,0.5,0.695,0.02,44.2962,43.5877,35.7562,201.471,170.246,151.936
0.01,0.018,0.5,0.6,0.02,44.3732,43.8076,34.6394,202.185,170.8,149.213
0.01,0.018,0.5,0.695,0.005,44.1251,43.3671,35.0536,201.677,169.718,150.366
0.01,0.018,0.5,0.695,0.0125,44.1322,43.401,35.4819,201.306,169.86,151.359
0.01,0.018,0.5,0.79,0.0125,43.9254,43.1273,35.8298,200.657,169.288,152.268
0.01,0.018,0.5,0.79,0.005,44.0343,43.1087,35.7813,201.28,169.015,152.177
0.01,0.018,0.5,0.79,0.02,44.2583,43.3622,36.4117,201.313,169.561,153.549
0.01,0.018,0.5,0.885,0.0125,43.9006,43.0306,36.6344,200.145,169.05,154.163
0.01,0.018,0.5,0.885,0.005,43.7746,42.8178,36.3258,200.257,168.493,153.534
0.01,0.018,0.5,0.885,0.02,44.0417,43.1135,36.8719,200.47,169.106,154.685
0.01,0.018,0.5,0.98,0.005,43.6414,42.6848,36.9705,199.409,168.311,155.05
0.01,0.018,0.728553,0.6,0.005,43.9634,43.3621,34.1592,201.57,169.928,148.217
0.01,0.018,0.728553,0.695,0.005,43.7776,43.2196,34.7652,200.519,169.81,149.708
0.01,0.018,0.5,0.98,0.02,43.8334,43.0638,37.4656,199.087,169.361,156.027
0.01,0.018,0.728553,0.6,0.02,44.0317,43.3013,34.4566,201.824,169.607,148.967
0.01,0.018,0.728553,0.695,0.02,43.759,42.9793,35.2323,200.636,169.018,150.918
0.01,0.018,0.728553,0.695,0.0125,43.7586,43.0842,35.0377,200.535,169.38,150.412
0.01,0.018,0.728553,0.6,0.0125,44.0615,43.4043,34.3702,201.795,169.915,148.716
0.01,0.018,0.5,0.98,0.0125,43.7064,42.8203,37.295,199.161,168.706,155.733
0.01,0.018,0.728553,0.79,0.005,43.4816,42.7092,35.4994,199.685,168.581,151.632
0.01,0.018,0.728553,0.79,0.0125,43.091,41.9194,35.2564,199.792,166.416,151.372
0.01,0.018,0.728553,0.885,0.005,42.9322,41.7328,35.7489,199.059,166.071,152.584
0.01,0.018,0.728553,0.79,0.02,43.1189,41.9134,35.337,199.884,166.348,151.567
0.01,0.018,1,0.6,0.005,43.1284,42.122,33.6307,200.748,166.957,147.413
0.01,0.018,1,0.6,0.0125,43.0274,42.0807,33.6249,200.347,166.996,147.405
0.01,0.018,0.728553,0.885,0.02,42.9307,41.7452,35.9098,198.897,166.133,152.95
0.01,0.018,0.728553,0.98,0.0125,42.8686,41.7285,36.6309,198.062,166.249,154.604
0.01,0.018,0.728553,0.98,0.02,42.9197,41.7851,36.5573,198.242,166.354,154.418
0.01,0.018,1,0.6,0.02,42.9721,41.9843,33.9772,200.028,166.776,148.293
0.01,0.018,0.728553,0.885,0.0125,42.964,41.8117,35.8952,198.916,166.314,152.891
0.01,0.018,0.728553,0.98,0.005,42.6569,41.4347,36.0811,198.124,165.523,153.45
0.01,0.018,1,0.695,0.005,42.9078,42.0443,34.3832,199.25,167.151,149.229
0.01,0.018,1,0.695,0.02,42.647,41.6572,34.4375,198.819,166.229,149.504
0.01,0.018,1,0.695,0.0125,42.794,41.8114,34.499,199.143,166.522,149.598
0.01,0.018,1,0.79,0.005,42.7897,41.7425,34.8625,199.004,166.306,150.489
0.01,0.018,1,0.79,0.0125,42.8281,41.8143,34.9756,198.939,166.507,150.728
0.01,0.018,1,0.79,0.02,42.6422,41.5917,35.028,198.493,166.045,150.929
0.01,0.018,1,0.885,0.005,42.6058,41.5086,35.3932,198.224,165.837,151.817
0.01,0.032,0.5,0.6,0.005,36.2593,33.5719,26.1876,192.206,146.429,131.411
0.01,0.018,1,0.885,0.0125,42.7213,41.6451,35.4771,198.415,166.128,151.966
0.01,0.032,0.5,0.6,0.0125,36.507,33.8882,26.9064,192.138,147.311,133.275
0.01,0.018,1,0.885,0.02,42.5424,41.3653,35.3246,198.3,165.423,151.714
0.01,0.018,1,0.98,0.005,42.5606,41.2952,35.9972,198.037,165.183,153.307
0.01,0.018,1,0.98,0.02,42.4121,41.0687,36.099,197.749,164.634,153.624
0.01,0.018,1,0.98,0.0125,42.6064,41.2844,36.4186,197.966,165.089,154.284
0.01,0.032,0.5,0.695,0.0125,36.2716,33.605,27.9364,190.763,146.712,136.187
0.01,0.032,0.5,0.695,0.005,35.8995,33.2301,26.9535,190.533,145.825,133.665
0.01,0.032,0.5,0.695,0.02,36.3557,33.6564,28.3815,190.716,146.789,137.358
0.01,0.032,0.5,0.6,0.02,36.688,34.068,27.4644,192.19,147.735,134.732
0.01,0.032,0.5,0.79,0.005,35.7519,32.9521,27.8406,189.72,145.028,136.194
0.01,0.032,0.5,0.79,0.0125,36.1196,33.2536,28.4739,190.401,145.578,137.775
0.01,0.032,0.5,0.79,0.02,36.0881,33.3947,28.2597,190.051,146.243,137.131
0.01,0.032,0.5,0.885,0.0125,35.7376,32.9817,28.7989,188.775,145.283,138.714
0.01,0.032,0.5,0.885,0.005,35.4636,32.7953,28.3205,188.169,145.04,137.512
0.01,0.032,0.728553,0.6,0.005,35.8779,33.1922,25.7547,191.495,145.592,130.341
0.01,0.032,0.5,0.885,0.02,35.8832,33.1222,29.3676,188.729,145.624,140.143
0.01,0.032,0.5,0.98,0.005,35.2654,32.5265,29.4357,186.851,144.416,140.531
0.01,0.032,0.5,0.98,0.02,35.7772,33.0386,30.2242,187.655,145.581,142.36
0.01,0.032,0.728553,0.6,0.02,36.212,33.7415,26.5961,191.198,147.306,132.452
0.01,0.032,0.728553,0.6,0.0125,36.0347,33.4018,26.3535,191.31,146.21,131.934
0.01,0.032,0.5,0.98,0.0125,35.7182,32.9647,30.0581,187.664,145.375,141.967
0.01,0.032,0.728553,0.695,0.005,35.5886,32.9171,26.3781,190.139,145.103,132.197
0.01,0.032,0.728553,0.695,0.02,35.9619,33.3379,27.0945,190.478,146.167,134.003
0.01,0.032,0.728553,0.79,0.0125,35.3843,32.8151,27.8893,188.048,145.265,136.343
0.01,0.032,0.728553,0.695,0.0125,35.9163,33.2005,27.1894,190.505,145.68,134.328
0.01,0.032,0.728553,0.79,0.005,35.1615,32.576,27.1628,188.061,144.65,134.476
0.01,0.032,0.728553,0.79,0.02,35.7194,33.2881,28.0813,188.488,146.589,136.66
0.01,0.032,0.728553,0.885,0.005,35.0987,32.472,28.3494,186.994,144.45,137.702
0.01,0.032,0.728553,0.885,0.0125,35.3736,32.7544,29.0579,187.169,145.136,139.454
0.01,0.032,0.728553,0.885,0.02,35.5349,32.9608,29.1745,187.416,145.686,139.676
0.01,0.032,1,0.6,0.005,35.5352,32.8432,25.585,190.692,144.822,130
0.01,0.032,0.728553,0.98,0.005,35.0641,32.3367,29.3665,186.299,144.03,140.419
0.01,0.032,0.728553,0.98,0.02,35.4594,32.7813,30.3456,186.484,145.185,142.75
0.01,0.032,1,0.6,0.02,35.8451,33.3724,26.0189,190.65,146.475,130.984
0.01,0.032,1,0.6,0.0125,35.742,33.2128,25.9919,190.527,146.011,130.98
0.01,0.032,0.728553,0.98,0.0125,35.3202,32.5494,30.0165,186.602,144.449,142.012
0.01,0.032,1,0.695,0.005,35.1887,32.5918,26.0934,189.057,144.553,131.519
0.01,0.032,1,0.695,0.0125,35.3528,32.8684,26.6361,188.784,145.448,132.904
0.01,0.032,1,0.695,0.02,35.4641,33.0701,26.8404,188.699,146.096,133.376
0.01,0.032,1,0.79,0.005,34.8809,32.2634,27.0895,187.404,143.902,134.4
0.01,0.032,1,0.79,0.02,35.2343,32.7566,27.7646,187.488,145.336,136.018
0.01,0.032,1,0.79,0.0125,35.1338,32.6467,27.7804,187.211,145.083,136.104
0.01,0.032,1,0.885,0.005,34.7598,32.155,27.8329,186.397,143.771,136.445
0.01,0.032,1,0.885,0.0125,34.9747,32.3313,28.4808,186.57,144.124,138.103
0.01,0.032,1,0.98,0.005,34.5163,31.9562,29.1052,184.492,143.572,139.859
0.01,0.032,1,0.885,0.02,35.0561,32.4754,28.7236,186.437,144.598,138.679
0.01,0.05,0.5,0.6,0.005,30.3005,26.52,20.3696,182.854,127.028,117.06
0.01,0.05,0.5,0.695,0.005,29.7189,26.2213,21.0123,179.79,127.111,119.206
0.01,0.032,1,0.98,0.0125,34.5977,32.0428,29.6788,184.226,143.826,141.303
0.01,0.05,0.5,0.6,0.0125,30.8903,27.2727,21.0743,183.552,129.408,118.955
0.01,0.05,0.5,0.695,0.0125,30.2182,26.9353,21.805,180.012,129.539,121.341
0.01,0.032,1,0.98,0.02,34.8906,32.3791,29.8866,184.789,144.664,141.707
0.01,0.05,0.5,0.6,0.02,31.35,27.7059,21.9011,184.26,130.488,121.363
0.01,0.05,0.5,0.695,0.02,30.7083,27.3879,22.6255,180.866,130.636,123.665
0.01,0.05,0.5,0.79,0.005,29.5649,26.0619,21.7219,178.708,126.778,121.499
0.01,0.05,0.5,0.79,0.0125,30.1342,26.7813,22.8585,179.016,129.096,124.628
0.01,0.05,0.5,0.885,0.005,29.1695,25.8535,22.5027,176.272,126.846,123.944
0.01,0.05,0.5,0.79,0.02,30.5272,27.1394,23.5958,179.648,129.964,126.672
0.01,0.05,0.5,0.885,0.0125,29.7085,26.4011,23.5334,176.982,128.354,126.78
0.01,0.05,0.5,0.885,0.02,30.0206,26.705,24.2371,177.332,129.161,128.702
0.01,0.05,0.5,0.98,0.0125,29.5728,26.3243,25.1202,174.952,128.499,131.352
0.01,0.05,0.5,0.98,0.005,29.093,25.8259,23.993,174.535,127.079,128.346
0.01,0.05,0.5,0.98,0.02,29.7707,26.511,25.6392,175.127,128.989,132.727
0.01,0.05,0.728553,0.6,0.005,30.0267,26.3563,20.1521,181.936,126.888,116.408
0.01,0.05,0.728553,0.695,0.005,29.6935,26.2368,20.7682,179.818,127.232,118.416
0.01,0.05,0.728553,0.6,0.02,30.8533,27.4942,21.7481,182.169,130.696,120.933
0.01,0.05,0.728553,0.695,0.0125,30.197,26.832,21.6299,180.327,129.05,120.855
0.01,0.05,0.728553,0.695,0.02,30.5138,27.1663,22.2623,180.675,129.986,122.659
0.01,0.05,0.728553,0.6,0.0125,30.5322,27.0534,21.0753,182.121,129.234,119.033
0.01,0.05,0.728553,0.79,0.0125,29.5822,26.2844,22.606,177.402,127.984,124.07
0.01,0.05,0.728553,0.79,0.005,29.2229,25.7598,21.6799,177.59,126.118,121.494
0.01,0.05,0.728553,0.79,0.02,30.0998,26.8742,23.3641,178.109,129.714,126.074
0.01,0.05,0.728553,0.885,0.005,28.8849,25.6065,22.8231,174.988,126.362,125.004
0.01,0.05,0.728553,0.885,0.0125,29.3593,26.1118,23.7164,175.566,127.815,127.425
0.01,0.05,0.728553,0.885,0.02,29.7025,26.5128,24.3369,175.907,129.031,129.047
0.01,0.05,0.728553,0.98,0.0125,29.134,25.9239,24.8422,173.719,127.574,130.722
0.01,0.05,0.728553,0.98,0.005,28.7338,25.5139,23.7178,173.522,126.389,127.669
0.01,0.05,0.728553,0.98,0.02,29.5264,26.3689,25.4431,174.252,128.886,132.223
0.01,0.05,1,0.6,0.0125,30.1215,26.7758,20.8671,180.718,128.877,118.471
0.01,0.05,1,0.6,0.005,29.7279,26.1608,19.8974,180.988,126.644,115.645
0.01,0.05,1,0.695,0.005,29.3749,25.9195,20.5564,179.037,126.413,117.879
0.01,0.05,1,0.6,0.02,30.5528,27.2151,21.5443,181.395,130.05,120.416
0.01,0.05,1,0.695,0.02,30.1673,26.8673,21.9986,179.734,129.349,121.971
0.01,0.05,1,0.695,0.0125,29.6993,26.3822,21.2628,179.015,128.023,119.896
0.01,0.05,1,0.79,0.005,28.8887,25.5769,21.706,176.113,126.067,121.629
0.01,0.05,1,0.79,0.0125,29.368,26.1143,22.4587,176.753,127.661,123.69
0.01,0.05,1,0.79,0.02,29.7398,26.5256,23.0966,177.214,128.858,125.424
0.01,0.05,1,0.885,0.005,28.7441,25.4581,22.6623,174.716,125.946,124.586
0.01,0.05,1,0.885,0.0125,29.1763,25.9126,23.3529,175.372,127.233,126.444
0.01,0.05,1,0.885,0.02,29.4398,26.3206,24.0134,175.184,128.706,128.182
0.01,0.072,0.5,0.6,0.005,25.7651,21.8408,16.3616,172.952,113.546,105.516
0.01,0.072,0.5,0.6,0.0125,26.5356,22.8639,17.6368,173.489,117.37,109.545
0.01,0.072,0.5,0.6,0.02,26.891,23.3302,18.4111,173.579,119.074,111.987
0.01,0.072,0.5,0.695,0.005,25.382,21.9336,17.0997,169.643,115.363,108.06
0.01,0.05,1,0.98,0.005,28.412,25.0937,23.5765,172.915,125.036,127.444
0.01,0.072,0.5,0.695,0.02,26.3741,22.9934,18.8094,171.038,118.73,113.469
0.01,0.05,1,0.98,0.02,29.2242,26.2434,24.9529,173.247,128.987,130.874
0.01,0.072,0.5,0.695,0.0125,25.9909,22.6275,18.0879,170.432,117.684,111.178
0.01,0.05,1,0.98,0.0125,28.879,25.6235,24.4867,173.371,126.658,129.841
0.01,0.072,0.5,0.79,0.005,25.0035,21.5493,17.7736,167.77,114.339,110.63
0.01,0.072,0.5,0.79,0.02,25.991,22.832,19.6051,168.38,119.035,116.148
0.01,0.072,0.5,0.79,0.0125,25.4904,22.1295,18.6828,168.221,116.382,113.447
0.01,0.072,0.5,0.885,0.005,24.7521,21.3614,18.9834,165.561,114.153,114.819
0.01,0.072,0.5,0.885,0.0125,25.3502,22.0297,20.157,166.202,116.413,118.326
0.01,0.072,0.5,0.98,0.005,24.5132,21.1448,20.2505,163.425,113.765,119.027
0.01,0.072,0.5,0.885,0.02,25.9884,22.7727,20.7593,167.425,118.852,119.888
0.01,0.072,0.5,0.98,0.0125,25.0233,21.828,21.1079,163.777,116.344,121.387
0.01,0.072,0.728553,0.6,0.0125,26.3643,22.8239,17.375,172.813,117.615,108.614
0.01,0.072,0.728553,0.6,0.005,25.6881,21.972,16.4988,171.979,114.58,105.913
0.01,0.072,0.728553,0.695,0.005,25.2748,21.6789,17.128,169.7,114.191,108.317
0.01,0.072,0.5,0.98,0.02,25.6598,22.3971,22.1713,165.086,117.861,124.398
0.01,0.072,0.728553,0.79,0.02,26.0501,22.7072,19.7669,168.964,118.176,116.765
0.01,0.072,0.728553,0.695,0.0125,25.8723,22.4388,18.1717,170.173,116.964,111.572
0.01,0.072,0.728553,0.79,0.005,25.1361,21.5868,18.1237,168.153,114.201,111.838
0.01,0.072,0.728553,0.885,0.005,24.4428,21.1168,18.6151,164.684,113.599,113.692
0.01,0.072,0.728553,0.6,0.02,26.6733,23.207,18.4061,172.623,119.013,112.012
0.01,0.072,0.728553,0.695,0.02,26.1895,22.8562,18.8727,170.243,118.501,113.739
0.01,0.072,0.728553,0.885,0.0125,25.0797,21.8347,19.6773,165.537,116.03,116.855
0.01,0.072,0.728553,0.79,0.0125,25.6442,22.2116,19.1367,168.503,116.456,114.939
0.01,0.072,0.728553,0.885,0.02,25.6,22.5534,20.4006,165.972,118.702,118.822
0.01,0.072,0.728553,0.98,0.005,24.2596,20.9767,20.0314,162.51,113.515,118.39
0.01,0.072,0.728553,0.98,0.0125,24.7891,21.6776,20.9826,162.842,116.157,121.05
0.01,0.072,0.728553,0.98,0.02,25.3771,22.2822,21.7016,164.081,117.98,122.999
0.01,0.072,1,0.6,0.005,25.7894,22.0632,16.3327,172.487,114.788,105.256
0.01,0.072,1,0.6,0.0125,26.1384,22.4984,17.2373,172.508,116.395,108.305
0.01,0.072,1,0.695,0.0125,25.5373,22.1942,17.9412,169.035,116.521,110.877
0.01,0.072,1,0.79,0.005,24.9131,21.4717,17.7882,167.419,114.157,110.716
0.01,0.072,1,0.6,0.02,26.3985,22.8621,18.1546,172.182,117.831,111.327
0.01,0.072,1,0.695,0.005,25.0449,21.5132,16.8914,168.986,113.881,107.54
0.01,0.072,1,0.79,0.0125,25.3482,22.0539,18.9045,167.338,116.398,114.215
0.01,0.072,1,0.695,0.02,25.8368,22.4607,18.9228,169.173,117.291,114.1
0.01,0.072,1,0.79,0.02,25.5515,22.2505,19.5249,167.43,117.007,116.177
0.01,0.072,1,0.885,0.0125,25.1047,21.7957,19.8275,165.668,115.747,117.37
0.01,0.072,1,0.885,0.005,24.4695,21.107,18.8709,164.632,113.492,114.559
0.01,0.072,1,0.98,0.005,24.248,20.8432,20.01,162.87,112.746,118.402
0.01,0.072,1,0.885,0.02,25.3116,22.081,20.2943,165.666,116.842,118.726
0.01,0.072,1,0.98,0.0125,24.841,21.6491,20.9779,163.274,115.835,121.061
0.01,0.072,1,0.98,0.02,25.2909,22.1312,21.665,164.023,117.366,122.962
0.01,0.098,0.5,0.6,0.005,22.2595,18.6591,14.0498,162.638,104.614,98.268
0.01,0.098,0.5,0.6,0.0125,22.9906,19.3833,15.2053,164.005,107.04,102.405
0.01,0.098,0.5,0.6,0.02,23.5966,19.9997,16.3602,164.881,109.131,106.396
0.01,0.098,0.5,0.695,0.005,21.9196,18.2788,14.5929,161.037,103.33,100.642
0.01,0.098,0.5,0.79,0.0125,22.1142,18.8461,16.2633,158.82,106.647,106.569
0.01,0.098,0.5,0.695,0.02,23.2981,19.7988,16.8445,163.083,108.904,108.228
0.01,0.098,0.5,0.695,0.0125,22.6642,19.262,15.733,161.717,107.419,104.424
0.01,0.098,0.5,0.79,0.005,21.273,17.7956,15.0702,157.74,102.393,102.714
0.01,0.098,0.5,0.79,0.02,22.656,19.3983,17.6329,159.286,108.58,111.152
0.01,0.098,0.5,0.885,0.005,20.9856,17.6666,15.751,155.467,102.627,105.306
0.01,0.098,0.5,0.885,0.0125,21.8412,18.7159,16.9539,156.659,106.816,109.088
0.01,0.098,0.5,0.885,0.02,22.4662,19.3212,18.2171,157.641,108.794,113.167
0.01,0.098,0.5,0.98,0.0125,21.5201,18.4892,18.1508,153.896,106.593,113.317
0.01,0.098,0.5,0.98,0.005,20.8008,17.5589,17.0105,153.174,102.732,109.881
0.01,0.098,0.5,0.98,0.02,22.174,19.1371,19.0985,155.299,108.708,116.166
0.01,0.098,0.728553,0.6,0.0125,22.8959,19.4414,15.1354,163.28,107.717,102.075
0.01,0.098,0.728553,0.6,0.02,23.382,19.9537,16.3782,163.618,109.539,106.452
0.01,0.098,0.728553,0.6,0.005,22.084,18.4191,13.9914,162.293,103.612,98.182
0.01,0.098,0.728553,0.695,0.005,21.7756,18.0589,14.5991,160.768,102.347,100.803
0.01,0.098,0.728553,0.885,0.02,22.2175,19.0712,17.9519,157.03,107.988,112.386
0.01,0.098,0.728553,0.885,0.0125,21.7642,18.6492,16.6666,156.651,106.6,108.096
0.01,0.098,0.728553,0.695,0.02,23.2574,19.7441,16.7707,163.061,108.682,107.994
0.01,0.098,0.728553,0.79,0.02,22.6231,19.4067,17.3807,159.299,108.706,110.264
0.01,0.098,0.728553,0.79,0.0125,21.9402,18.7749,16.1564,157.982,106.752,106.196
0.01,0.098,0.728553,0.695,0.0125,22.5264,19.1107,15.4982,161.52,106.871,103.624
0.01,0.098,0.728553,0.79,0.005,21.1615,17.731,15.0847,157.174,102.347,102.794
